bundle_id,lane,priority,risk_score,bundle_title,recommended_action,rationale,child_record_count,source_evidence_weight,families,entity_types,allow_batch_all,reversible,requires_individual_child_selection,publication_eligible,apply_action_allowed,database_action,publication_action
meitybundle_af621ed36ee3e3249ab8,AUTO_RESOLVED,HIGH,40,Automatic exclusions — DIRECTORY_OR_UNPARAMETERISED_ROUTE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",1,1,GENESIS,DIRECTORY_OR_LISTING,True,True,False,False,False,NONE,NONE
meitybundle_c973ffb23dc24951625c,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",1,1,SAMRIDH,ACCELERATOR_COHORT,True,True,False,False,False,NONE,NONE
meitybundle_7def7fdfdd80353d1fb3,AUTO_RESOLVED,LOW,9,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",1,1,SASACT,ACCELERATOR_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_86e79e94d524724cbaf0,AUTO_RESOLVED,LOW,0,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",2,2,SAMRIDH,APPLICATION_CALL,True,True,False,False,False,NONE,NONE
meitybundle_bc15083c85ffd653b73b,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",14,14,MeityStartupHub;SAMRIDH;TIDE 2.0,CHALLENGE_CALL,True,True,False,False,False,NONE,NONE
meitybundle_3c990723798c8ee1b8de,AUTO_RESOLVED,HIGH,40,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",8,8,Challenges;GENESIS;MeityStartupHub;SAMRIDH,DIRECTORY_OR_LISTING,True,True,False,False,False,NONE,NONE
meitybundle_a035d4a3aeaec9503672,AUTO_RESOLVED,HIGH,40,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",15,15,GENESIS;MeityStartupHub;SAMRIDH,EVENT_OR_CONFERENCE,True,True,False,False,False,NONE,NONE
meitybundle_2d477af6495472b3d5f8,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",2,2,SAMRIDH,GRAND_CHALLENGE,True,True,False,False,False,NONE,NONE
meitybundle_a184934dbd5270525798,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",2,2,SAMRIDH,HACKATHON,True,True,False,False,False,NONE,NONE
meitybundle_c866bc23a9ecd454acd0,AUTO_RESOLVED,LOW,9,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",7,7,GENESIS;MeityStartupHub;SAMRIDH,INCUBATION_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_0364a9a9f7dd8b459b14,AUTO_RESOLVED,HIGH,40,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",7,7,GENESIS;SAMRIDH,ORGANISATION_PROFILE,True,True,False,False,False,NONE,NONE
meitybundle_044727170d317dcb4627,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",16,16,BHUMI – BSF Border Security Hackathon;CREST Semiconductor Accelerator;DRISHTI – SSB Grand Challenge on Strengthening Border Security;MathWorks Startup Program;MeityStartupHub;XR Startup Program,PERMANENT_PROGRAMME,True,True,False,False,False,NONE,NONE
meitybundle_df119b7ed7eafdef35d2,AUTO_RESOLVED,HIGH,25,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",26,26,Access Denied;Archives;GENESIS;MeityStartupHub;SAMRIDH;SASACT;Schemes And Services,PERMANENT_SCHEME,True,True,False,False,False,NONE,NONE
meitybundle_4465fd3bcba6029e048d,AUTO_RESOLVED,LOW,4,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",3,3,SAMRIDH,RESULT_ANNOUNCEMENT,True,True,False,False,False,NONE,NONE
meitybundle_b86628f63af91f48f62d,AUTO_RESOLVED,MEDIUM,15,Automatic exclusions — GENERIC_OR_PORTAL_TITLE,ACCEPT_AUTOMATIC_EXCLUSIONS,"Error, navigation, access-denied or generic portal records remain in the audit ledger and require no Admin decision.",4,4,Access Denied;MeityStartupHub,UNRESOLVED_NON_CALL,True,True,False,False,False,NONE,NONE
meitybundle_308513f571480eed14dc,AUTO_RESOLVED,LOW,0,Supporting documents — GENESIS — BROCHURE,ACCEPT_SUPPORTING_DOCUMENT_LINKS,"Documents are retained as evidence and cannot create programme, call or Apply identities.",1,1,GENESIS,PERMANENT_SCHEME,True,True,False,False,False,NONE,NONE
