"evidence_id","master_id","canonical_name","field_name","field_value","evidence_url","source_authority","evidence_type","evidence_text","confidence","retrieved_date","evidence_status","publication_status"
"meity_field_evidence_147173e17ea741687247_application_process_v34201","147173e17ea741687247","SAMRIDH","application_process","MeitY Startup Hub or its implementing arrangement issues a cohort-specific Expression of Interest or call for accelerators. Eligible accelerators apply and undergo expert evaluation. Selected accelerators then operate cohorts and select eligible startups through their governed screening process. No currently open SAMRIDH application window has been verified.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_application_status_v34201","147173e17ea741687247","SAMRIDH","application_status","APPLICATION_STATUS_REQUIRES_VERIFICATION","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","No currently open scheme-wide application route is recorded. Any future route must be verified through a separate official cohort or call.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_beneficiary_type_v34201","147173e17ea741687247","SAMRIDH","beneficiary_type","Eligible accelerators as direct scheme partners and selected product-based or IT-based startups as downstream beneficiaries.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_benefits_v34201","147173e17ea741687247","SAMRIDH","benefits","Selected startups may receive customized acceleration services, customer and investor connections, mentoring, legal and product support, market-access assistance and matching funding support under an approved SAMRIDH cohort.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_canonical_name_v34201","147173e17ea741687247","SAMRIDH","canonical_name","SAMRIDH","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_currency_v34201","147173e17ea741687247","SAMRIDH","currency","INR","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_eligibility_v34201","147173e17ea741687247","SAMRIDH","eligibility","Direct scheme partners are existing or upcoming accelerators operating in India. The scheme document requires relevant incubation or accelerator experience, startup-support track record, suitable infrastructure, mentor and investor networks, and capability to run structured cohorts. Startups participate as downstream beneficiaries through accelerators selected under cohort-specific calls.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_funding_context_v34201","147173e17ea741687247","SAMRIDH","funding_context","Government startup investment may be up to INR 40 lakh, with the scheme document indicating an average of approximately INR 30 lakh per startup per cohort. Matching investment and final support depend on the selected accelerator, startup growth stage and cohort terms.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_funding_maximum_v34201","147173e17ea741687247","SAMRIDH","funding_maximum","4000000","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official scheme document provides matching startup funding support up to INR 40 lakh through selected accelerators.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_guideline_url_v34201","147173e17ea741687247","SAMRIDH","guideline_url","https://msh.meity.gov.in/assets/Scheme-Report.pdf","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_implementing_agency_v34201","147173e17ea741687247","SAMRIDH","implementing_agency","MeitY Startup Hub (MSH), Digital India Corporation","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_objective_v34201","147173e17ea741687247","SAMRIDH","objective","Support existing and upcoming accelerators to select and accelerate promising product-based and IT-based startups, helping them scale through customer connections, investor connections, product enhancement and international-market access.","https://msh.meity.gov.in/assets/Scheme-Report.pdf","Ministry of Electronics and Information Technology","OFFICIAL_SCHEME_DOCUMENT","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
"meity_field_evidence_147173e17ea741687247_official_abbreviation_v34201","147173e17ea741687247","SAMRIDH","official_abbreviation","SAMRIDH","https://msh.meity.gov.in/schemes/samridh","MeitY Startup Hub","OFFICIAL_SCHEME_PAGE","The official source supports the governed value recorded for this field.","0.95","2026-07-12","ACCEPTED_FOR_PILOT","NOT_PUBLISHED"
