bundle_id,bundle_signature,lane,priority,risk_score,bundle_title,original_recommended_action,recommended_action,rationale,child_record_count,source_evidence_weight,families,entity_types,temporal_states,parent_link_states,requires_child_selection,requires_admin_note,allowed_decisions,reversible,publication_eligible,apply_action_allowed,database_action,publication_action,link_integrity_complete,current_application_integrity_complete,safe_positive_decision_allowed,link_integrity_flags,link_integrity_signature
meitybundle_b5519f29bb40e18c8938,975d50f2b754c5576725f776d6abb197e302c63b0f479060db24fcca8b5cb094,BATCH_CONFIRMATION,MEDIUM,14,Programme family — CREST Semiconductor Accelerator,CONFIRM_EXISTING_PROGRAMME_FAMILY,CONFIRM_CANONICAL_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,CREST Semiconductor Accelerator,ACCELERATOR_PROGRAMME,NOT_APPLICABLE,NOT_APPLICABLE,False,False,PENDING;CONFIRM_PROGRAMME_IDENTITY;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,True,True,True,,2a56a86ef78fdb2c49cfb7a889fd79282991c4b907a4a57735b09c913728ff6e
meitybundle_830585abbcda943ddb7f,b7ad737d714f187e9fa9b2aebfebd51473d702edd3bc0f860a98d3f5a2754999,BATCH_CONFIRMATION,MEDIUM,19,Programme family — GENESIS,CONFIRM_EXISTING_PROGRAMME_FAMILY,CONFIRM_CANONICAL_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,3,GENESIS,PERMANENT_PROGRAMME,NOT_APPLICABLE,NOT_APPLICABLE,False,False,PENDING;CONFIRM_PROGRAMME_IDENTITY;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,True,True,True,,3770e561c16bd62e791d5894423f3380c6dfae14a8438f04ed22867ef32150b9
meitybundle_21fa26e029349f85d4c0,c5f0f2c8cb5b14dbee75b435444e357cbe0f17e1f30f105adc6bacd3d80c21f0,BATCH_CONFIRMATION,MEDIUM,14,Programme family — MathWorks Startup Program,CONFIRM_EXISTING_PROGRAMME_FAMILY,CONFIRM_CANONICAL_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,MathWorks Startup Program,ACCELERATOR_PROGRAMME,NOT_APPLICABLE,NOT_APPLICABLE,False,False,PENDING;CONFIRM_PROGRAMME_IDENTITY;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,True,True,True,,a722a7dea99953bb0b1d8023c3139be1345798870483494e481f9421839daf66
meitybundle_5cff784a4ae89905962c,c703bc4cdce59bf1336087d8160f5877ca6fa761c6da5d4f154ec80e920dc11a,BATCH_CONFIRMATION,MEDIUM,19,Programme family — SASACT,CONFIRM_EXISTING_PROGRAMME_FAMILY,CONFIRM_CANONICAL_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,2,SASACT,PERMANENT_PROGRAMME,NOT_APPLICABLE,NOT_APPLICABLE,False,False,PENDING;CONFIRM_PROGRAMME_IDENTITY;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,True,True,True,,84a8e659962d86727ff9f8435dcdd384f5b311f5ac3b59b154bfa8957c1ff58a
meitybundle_3a121f4066809c963640,f8b26f0459ad156126a9a7225e8a444b609de6b76875a6491b01a221fbd19a89,BATCH_CONFIRMATION,LOW,4,Programme family — XR Startup Program,CONFIRM_EXISTING_PROGRAMME_FAMILY,CONFIRM_CANONICAL_PROGRAMME_FAMILY,Confirm the canonical family and its consolidated evidence without creating a duplicate master identity.,1,1,SAMRIDH,ACCELERATOR_PROGRAMME,NOT_APPLICABLE,NOT_APPLICABLE,False,False,PENDING;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,False,True,False,LINK_INTEGRITY_INCOMPLETE,a7bb25b54875eeb1cc96b31a25a21362ab1ea709937d242e70198dc39bedead4
meitybundle_efe851fe2236a1b3957a,6fa29078053e8afd17c5017db57b7343b10087620214fe4f436a4ad1b2a80cc0,BATCH_CONFIRMATION,LOW,4,Calls/challenges — CREST Semiconductor Accelerator — ACCELERATOR_COHORT,CONFIRM_CALL_OR_CHALLENGE_GROUP,CONFIRM_CALL_IDENTITY_AND_PARENT,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,2,CREST Semiconductor Accelerator,ACCELERATOR_COHORT,NOT_APPLICABLE,TITLE_OR_URL_ALIAS_MATCH,False,False,PENDING;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,False,True,False,LINK_INTEGRITY_INCOMPLETE,557e9a63f26e7eabc3bbf99986560e2930b07c57bd01929898b8e7a77256f45e
meitybundle_25cfdc0d3bb00a1ff98f,a170f42cb59ed0bb600292b2b2b2183c6220416ee6227d06cfbd3a6b2183feb2,BATCH_CONFIRMATION,LOW,0,Calls/challenges — SAMRIDH — ACCELERATOR_COHORT,CONFIRM_CALL_OR_CHALLENGE_GROUP,CONFIRM_CALL_IDENTITY_AND_PARENT,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,2,SAMRIDH,ACCELERATOR_COHORT,NOT_APPLICABLE,DIRECT_PARENT_EVIDENCE,False,False,PENDING;CONFIRM_CALL_AND_PARENT;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,True,True,True,,4062d4fc5bb5dc0b4375b555b4b524c6568f428a150740819a9d4affe7da34af
meitybundle_cbb20819e0e8d53bb281,3d576d75bbf0f148bfa90743cd8222a0837d2b6c10c517469acd39bba30b9634,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — CHALLENGE_CALL,CONFIRM_CALL_OR_CHALLENGE_GROUP,CONFIRM_CALL_IDENTITY_AND_PARENT,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,3,4,SAMRIDH,CHALLENGE_CALL,NOT_APPLICABLE,DIRECT_PARENT_EVIDENCE;UNRESOLVED,False,False,PENDING;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,False,True,False,LINK_INTEGRITY_INCOMPLETE,834dc66270793efa240da5a6beb7aa38cb5c9445566c4b61dd26bba4d39adf84
meitybundle_15b24282b311cf2d676a,80c0d8644ac2a25fbbb929e1f3980f44f3d22025a21e09f45a8c5df8e006fc50,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — GRAND_CHALLENGE,CONFIRM_CALL_OR_CHALLENGE_GROUP,CONFIRM_CALL_IDENTITY_AND_PARENT,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,1,3,SAMRIDH,GRAND_CHALLENGE,NOT_APPLICABLE,UNRESOLVED,False,False,PENDING;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,False,True,False,LINK_INTEGRITY_INCOMPLETE,d9613863a1219e5ba18eb045fb3372150c7b351cb19c181f31531760cbfe3697
meitybundle_4b1b886478e692555a3f,9f7527a8bb21d64ac32cd96455e907395b4976007b730ac4f06607ad85949277,BATCH_CONFIRMATION,LOW,4,Calls/challenges — SAMRIDH — HACKATHON,CONFIRM_CALL_OR_CHALLENGE_GROUP,CONFIRM_CALL_IDENTITY_AND_PARENT,Confirm the grouped call or challenge identities and their parent relationship. No current status is inferred.,2,4,SAMRIDH,HACKATHON,NOT_APPLICABLE,UNRESOLVED,False,False,PENDING;NEEDS_MORE_EVIDENCE;DEFER;REJECT_CLASSIFICATION,True,False,False,NONE,NONE,False,True,False,LINK_INTEGRITY_INCOMPLETE,4a46025e7a83e18eb5a0219fab9fe38c09222d993a3feedb96b3e7731f5f6417
