master_id,scheme_name,original_sectors,primary_sector,secondary_sectors,all_sectors,confidence,method,review_required,evidence_summary,scored_candidates,fetched_urls,fetch_notes,llm_used,llm_note
2fcf4cfd53ae3826cf8c,Bio-AI / BioE3 Mulankur Hubs,"[""Biotechnology & Life Sciences""]",Biotechnology & Life Sciences,[],"[""Biotechnology & Life Sciences""]",0.97,EXISTING_SECTOR_CONFIRMED,False,"scheme_name: bioe3, bio-ai; sector: biotechnology, biotech, life sciences; official_page_text: biotechnology, biotech, bioe3, bio-ai","{""Biotechnology & Life Sciences"": 29.5, ""Artificial Intelligence & Data"": 7.5, ""Cross-sector MSME & Startup Finance"": 5.0, ""Healthcare & MedTech"": 5.0, ""Pharmaceuticals & Drug Discovery"": 5.0, ""Electronics & Semiconductors"": 2.5, ""Manufacturing & Industry 4.0"": 2.5, ""Social Impact & Rural Innovation"": 2.5}","[""https://birac.nic.in/desc_new.php?id=1334"", ""https://birac.nic.in/login.php""]","[""https://birac.nic.in/desc_new.php?id=1334::HTTP_200"", ""https://birac.nic.in/login.php::HTTP_200""]",False,LM_NOT_REQUESTED
4dffaf1021d344e091ab,Startup India Seed Fund Scheme (SISFS),"[""Cross-sector MSME & Startup Finance""]",Cross-sector MSME & Startup Finance,[],"[""Cross-sector MSME & Startup Finance""]",0.877,EXISTING_SECTOR_CONFIRMED,False,scheme_name: seed fund,"{""Cross-sector MSME & Startup Finance"": 5.0}","[""https://seedfund.startupindia.gov.in/""]","[""https://seedfund.startupindia.gov.in/::HTTP_200""]",False,LM_NOT_REQUESTED
c684dceb539277134b92,Credit Guarantee Scheme for Startups (CGSS),"[""Cross-sector MSME & Startup Finance""]",Cross-sector MSME & Startup Finance,[],"[""Cross-sector MSME & Startup Finance""]",0.97,EXISTING_SECTOR_CONFIRMED,False,"scheme_name: credit guarantee; official_page_text: credit guarantee, fund of funds, seed fund, working capital","{""Cross-sector MSME & Startup Finance"": 12.5, ""Cross-sector Innovation & Entrepreneurship"": 5.0}","[""https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html""]","[""https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html::HTTP_200""]",False,LM_NOT_REQUESTED
f60669191ee8384cbb3f,Grand Challenges India (GCI),"[""Biotechnology & Life Sciences"", ""Healthcare & MedTech"", ""Pharmaceuticals & Drug Discovery""]",Biotechnology & Life Sciences,"[""Pharmaceuticals & Drug Discovery"", ""Healthcare & MedTech""]","[""Biotechnology & Life Sciences"", ""Pharmaceuticals & Drug Discovery"", ""Healthcare & MedTech""]",0.87,EXISTING_SECTOR_CONFIRMED,False,"sector: biotechnology, biotech, life sciences; official_page_text: biotechnology, biotech","{""Biotechnology & Life Sciences"": 17.0, ""Pharmaceuticals & Drug Discovery"": 17.0, ""Healthcare & MedTech"": 13.0, ""Cross-sector MSME & Startup Finance"": 5.0, ""Education & EdTech"": 4.0, ""Electronics & Semiconductors"": 2.5, ""Social Impact & Rural Innovation"": 2.5}","[""https://birac.nic.in/desc_new.php?id=1327"", ""https://birac.nic.in/login.php""]","[""https://birac.nic.in/desc_new.php?id=1327::HTTP_200"", ""https://birac.nic.in/login.php::HTTP_200""]",False,LM_NOT_REQUESTED
b1_d609e0f5ca82fb6e6416,Schemes,"[""Sector Agnostic / Multi-sector""]",Cross-sector Innovation & Entrepreneurship,[],"[""Cross-sector Innovation & Entrepreneurship""]",0.937,DETERMINISTIC_EVIDENCE,False,"sector: sector agnostic, multi-sector","{""Cross-sector Innovation & Entrepreneurship"": 8.0}","[""https://www.msme.gov.in/schemes""]","[""https://www.msme.gov.in/schemes::HTTP_200""]",False,LM_NOT_REQUESTED
b1_a02a958be1d45a9fabaa,Startup India Fund Of Funds 2.0 Scheme.Pdf,"[""Cross-sector MSME & Startup Finance""]",Cross-sector MSME & Startup Finance,[],"[""Cross-sector MSME & Startup Finance""]",0.877,EXISTING_SECTOR_CONFIRMED,False,scheme_name: fund of funds,"{""Cross-sector MSME & Startup Finance"": 5.0}","[""https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf""]","[""https://www.startupindia.gov.in/content/dam/startupindia/Startup-India-Fund-of-Funds-2.0-Scheme.pdf::PDF_NOT_PARSED""]",False,LM_NOT_REQUESTED
b1_1692cd16d54709c21f57,Startup Schemes Playbook June 2026.Pdf,"[""Sector Agnostic / Multi-sector""]",Cross-sector Innovation & Entrepreneurship,[],"[""Cross-sector Innovation & Entrepreneurship""]",0.937,DETERMINISTIC_EVIDENCE,False,"sector: sector agnostic, multi-sector","{""Cross-sector Innovation & Entrepreneurship"": 8.0}","[""https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf""]","[""https://www.startupindia.gov.in/content/dam/startupindia/homebanners/Startup-Schemes-Playbook-June-2026.pdf::PDF_NOT_PARSED""]",False,LM_NOT_REQUESTED
b1_0ef15a88db817bcdd2b9,Sitemap.Xml,"[""Sector Agnostic / Multi-sector""]",Cross-sector Innovation & Entrepreneurship,[],"[""Cross-sector Innovation & Entrepreneurship""]",0.937,DETERMINISTIC_EVIDENCE,False,"sector: sector agnostic, multi-sector","{""Cross-sector Innovation & Entrepreneurship"": 8.0, ""Digital Technology & Software"": 1.0, ""Electronics & Semiconductors"": 1.0}","[""https://www.myscheme.gov.in/sitemap.xml""]","[""https://www.myscheme.gov.in/sitemap.xml::HTTP_200""]",False,LM_NOT_REQUESTED
b1_bcfa2541b23572c907ee,Schemes.Aspx,"[""Sector Agnostic / Multi-sector""]",Cross-sector Innovation & Entrepreneurship,[],"[""Cross-sector Innovation & Entrepreneurship""]",0.937,DETERMINISTIC_EVIDENCE,False,"sector: sector agnostic, multi-sector","{""Cross-sector Innovation & Entrepreneurship"": 8.0}","[""https://dcmsme.gov.in/schemes.aspx""]","[""https://dcmsme.gov.in/schemes.aspx::HTTP_200""]",False,LM_NOT_REQUESTED
b1_0d0b5796ed528f890f2d,Sitemap.Xml,"[""Cross-sector Innovation & Entrepreneurship""]",Cross-sector Innovation & Entrepreneurship,[],"[""Cross-sector Innovation & Entrepreneurship""]",0.82,CROSS_SECTOR_FALLBACK,False,broad innovation/entrepreneurship support without an industry restriction,"{""Manufacturing & Industry 4.0"": 4.5}","[""https://champions.gov.in/sitemap.xml"", ""https://champions.gov.in/mailor/SopDraft.htm""]","[""https://champions.gov.in/sitemap.xml::HTTP_200"", ""https://champions.gov.in/mailor/SopDraft.htm::HTTP_200""]",False,LM_NOT_REQUESTED
