master_id,scheme_code,canonical_name,record_kind,official_page_url,application_status,opening_date,closing_date,funding_maximum,funding_evidence,last_verified_at,guideline_urls,status_basis,status_evidence,source,department,implementing_agency,objectives,eligibility,benefits,sectors,scheme_types,target_beneficiaries,startup_stage,warnings,application_url
moe_iic,IIC,Institution's Innovation Council (IIC),PROGRAMME,https://www.education.gov.in/nep/iic,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; current activity or application windows are not inferred.,MoE Industry-Institute Collaboration page identifies entrepreneurship and innovation outcomes for higher-education institutions.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Ministry of Education's Innovation Cell (MIC),Foster innovation and entrepreneurship culture across higher-education institutions,HEIs and their students and faculty,Institutional innovation and startup ecosystem support,Higher education|Innovation|Entrepreneurship,INNOVATION_SUPPORT|ENTREPRENEURSHIP_SUPPORT,Students|Faculty|HEIs,IDEATION|PROTOTYPE,Current activity window is not verified.
moe_aicte_idea_labs,AICTE-IDEA,AICTE IDEA (Idea Development Evaluation & Application) Labs,SCHEME,https://www.education.gov.in/nep-initiatives,STATUS_UNVERIFIED,,,,,2026-07-23,https://www.education.gov.in/sites/upload_files/mhrd/files/nep/Background_Notes_Thematic_Sessions.pdf,Permanent scheme identity; current application window is not inferred.,Official MoE thematic notes describe AICTE IDEA Labs and eligibility for approved engineering colleges.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",All India Council for Technical Education (AICTE),Provide prototyping facilities and hands-on STEM innovation learning,AICTE-approved engineering colleges meeting the documented criteria,Prototyping infrastructure and design-thinking skills,Higher education|Engineering|Innovation,INFRASTRUCTURE_SUPPORT|INNOVATION_SUPPORT,Engineering students|HEIs,IDEATION|PROTOTYPE,Current application status is not verified.
moe_yukti,YUKTI,YUKTI Innovation Challenge,PROGRAMME,https://www.education.gov.in/nep-initiatives,STATUS_UNVERIFIED,,,,,2026-07-23,https://www.education.gov.in/sites/upload_files/mhrd/files/document-reports/Annual%20Report_2022-23_English.pdf,Programme identity; current challenge windows are not inferred.,MoE annual-report evidence identifies YUKTI Innovation Challenge support for innovation teams and startups in IIC institutions.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Ministry of Education's Innovation Cell (MIC),Help HEI innovation teams validate ideas and develop ventures,IIC institutions and their innovation teams,Mentorship training incubation linkage and startup development,Higher education|Innovation|Entrepreneurship,CHALLENGE|INCUBATION|MENTORING,Student innovators|Faculty innovators|Startups,IDEATION|PROTOTYPE|EARLY,Current challenge window is not verified.
moe_smart_india_hackathon,SIH,Smart India Hackathon,PROGRAMME,https://www.education.gov.in/nep-initiatives,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; a current edition is not inferred from the programme index.,MoE NEP initiatives page includes Smart India Hackathon among higher-education innovation initiatives.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Ministry of Education's Innovation Cell and AICTE,Connect student teams to real problem statements and innovation challenges,Students and HEIs participating in notified editions,Problem-solving mentorship and innovation exposure,Higher education|Innovation|Technology,CHALLENGE|INNOVATION_SUPPORT,Student teams|HEIs,IDEATION|PROTOTYPE,Current edition and deadline require an official notice.
moe_national_innovation_contest,NIC,National Innovation Contest,PROGRAMME,https://www.education.gov.in/nep-initiatives,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; a current edition is not inferred from the programme index.,MoE Innovation Cell initiatives reference National Innovation Contest for higher-education innovation.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Ministry of Education's Innovation Cell (MIC),Identify and support innovative student and faculty solutions,Students faculty and HEIs meeting edition criteria,Recognition mentoring and innovation support,Higher education|Innovation,CHALLENGE|RECOGNITION_SUPPORT,Student innovators|Faculty innovators,IDEATION|PROTOTYPE,Current edition and deadline require an official notice.
moe_ide_bootcamp,IDE-BOOTCAMP,Innovation Design and Entrepreneurship (IDE) Bootcamp,PROGRAMME,https://bootcamp.mic.gov.in/assets/pdf/Call%20of%20Applications%20for%20HEI%20Student%20Participants%20and%20Startup.pdf,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; the cited call material is not treated as a current window without a dated deadline.,Official AICTE and MoE Innovation Cell call material describes the IDE Bootcamp for students and early-stage startups.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",AICTE and Ministry of Education's Innovation Cell (MIC),Build product design pitching mentoring and entrepreneurship capability,HEI students and early-stage startups meeting the call criteria,Hands-on mentorship networking and pitch feedback,Higher education|Entrepreneurship|Innovation,ENTREPRENEURSHIP_SUPPORT|MENTORING|BOOTCAMP,Students|Aspiring entrepreneurs|Early-stage startups,IDEATION|PROTOTYPE|EARLY,Current bootcamp window is not verified.
moe_investor_network,MOE-AICTE-INVESTOR,MoE-AICTE Investor Network,PROGRAMME,https://www.education.gov.in/sites/upload_files/mhrd/files/PIB2001435.pdf,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; investor onboarding or funding windows are not inferred from the launch release.,Official MoE/PIB release describes the investor network for student and faculty-led startups.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",MoE Innovation Cell and AICTE,Connect student and faculty startups with investors mentors and strategic guidance,Student and faculty-led startups from HEIs,Seed-capital visibility mentorship and investor access,Higher education|Entrepreneurship|Innovation,INVESTOR_CONNECT|MENTORING|ENTREPRENEURSHIP_SUPPORT,Student startups|Faculty startups,PROTOTYPE|EARLY|GROWTH,No current investor application window is verified.
moe_mba_ievd,MBA-IEVD,MBA or PGDM in Innovation Entrepreneurship and Venture Development,PROGRAMME,https://www.education.gov.in/sites/upload_files/mhrd/files/document-reports/AR-MoE-Eng.pdf,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; institutional admissions are not treated as a startup call.,Official MoE annual-report evidence records AICTE's innovation and venture-development programme.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",AICTE and approved HEIs,Develop management and venture-building capability within higher education,Students and approved HEIs meeting programme requirements,Structured entrepreneurship education and venture development,Higher education|Entrepreneurship|Management,EDUCATION_SUPPORT|ENTREPRENEURSHIP_SUPPORT,Students|Graduates|HEIs,IDEATION|EARLY,Current admission status is not verified.
moe_design_innovation,NIDI,National Initiative for Design Innovation,SCHEME,https://www.education.gov.in/national-initiative-design-innovation-0,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent scheme identity; the archived guidance page does not imply an open application window.,Official MoE page records the Design Innovation Centres Open Design School and National Design Innovation Network scheme.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Department of Higher Education,Build design-innovation centres and networked higher-education capacity,Eligible higher-education institutions and design partners,Design innovation infrastructure and collaboration,Higher education|Design|Innovation,INFRASTRUCTURE_SUPPORT|INNOVATION_SUPPORT,HEIs|Design institutions|Students,IDEATION|PROTOTYPE,Current application status is not verified.
moe_rd_cell,RDC,Research and Development Cell (RDC),PROGRAMME,https://www.education.gov.in/nep/iic,STATUS_UNVERIFIED,,,,,2026-07-23,,Programme identity; institution-level setup is not treated as an open call.,MoE Industry-Institute Collaboration page identifies establishment of Research and Development Cells as an activity.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Higher-education institutions,Strengthen institutional research development and industry linkages,HEIs and their research and innovation stakeholders,Research translation and collaboration capacity,Higher education|Research|Innovation,RESEARCH_SUPPORT|PARTNERSHIP_SUPPORT,HEIs|Researchers|Industry partners,PROTOTYPE|EARLY|GROWTH,Current institution-level status is not verified.
moe_innovative_startups_utsav,STARTUPS-UTSAV,Innovative Start-ups Utsav,PROGRAMME,https://www.education.gov.in/sites/upload_files/mhrd/files/AKAM_Action_Plan_DHE.pdf,STATUS_UNVERIFIED,,,1000000,Official MoE action plan states funding support up to INR 10 lakh each for 75 innovative technologies in the cited initiative.,2026-07-23,,Historical initiative identity; the cited action plan does not establish a current call.,Official MoE action plan describes funding and incubation support for innovative student and faculty technologies.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",MoE Innovation Cell and partner agencies,Identify and support student and faculty technologies with startup potential,Student and faculty innovators selected under a notified initiative,Funding and incubation linkage up to the documented cap,Higher education|Innovation|Entrepreneurship,GRANT_SUPPORT|INCUBATION|ENTREPRENEURSHIP_SUPPORT,Student innovators|Faculty innovators,IDEATION|PROTOTYPE|EARLY,The documented INR 10 lakh cap applies to the cited historical initiative only.
moe_pmrc,PMRC,Prime Minister Research Chair Scheme,SCHEME,https://pmrc.education.gov.in/about,STATUS_UNVERIFIED,,,,,2026-07-23,,Permanent research scheme identity; the call is published separately.,Official PMRC scheme page describes the Ministry of Education research and innovation initiative.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Department of Higher Education,Strengthen high-impact research innovation and global collaboration,Indian-origin researchers and eligible host institutions,Research mentorship and lab-to-market pathways,Higher education|Research|Innovation,RESEARCH_SUPPORT|INNOVATION_SUPPORT,Researchers|HEIs|Research laboratories,PROTOTYPE|EARLY|GROWTH,Current application status is shown separately.
moe_pmrc_call_2026,PMRC-CALL-2026,Prime Minister Research Chair Call for Applications 2026,APPLICATION_CALL,https://pmrc.education.gov.in/,OPEN,,2026-08-15,,,2026-07-23,,Official PMRC homepage states that the call for applications is extended to 15 August 2026.,Official PMRC homepage displays the extended 15 August 2026 application deadline.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",Prime Minister Research Chair Secretariat,Invite eligible researchers to apply for the current PMRC cycle,Eligible researchers and host institutions meeting PMRC criteria,Research and innovation placement support,Higher education|Research|Innovation,APPLICATION_CALL|RESEARCH_SUPPORT,Researchers|Host institutions,EARLY|GROWTH,Confirm eligibility and application instructions on the official PMRC portal.,https://pmrc.education.gov.in/
moe_yukti_2022,YUKTI-2022,YUKTI Innovation Challenge 2022-23 Reference,CHALLENGE,https://www.education.gov.in/sites/upload_files/mhrd/files/document-reports/Annual%20Report_2022-23_English.pdf,CLOSED_OR_HISTORICAL,,2023-03-31,,,2026-07-23,,Historical cycle reference; the annual-report period closes 31 March 2023.,MoE annual report records YUKTI innovation and startup support activity for 2022-23.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",MoE Innovation Cell and AICTE,Preserve the evidenced YUKTI cycle for historical comparison,Innovation teams and startups from IIC institutions,Historical mentorship incubation and funding linkage,Higher education|Innovation|Entrepreneurship,CHALLENGE|INCUBATION,Student innovators|Faculty innovators|Startups,IDEATION|PROTOTYPE|EARLY,Historical reference only; no active application action.
moe_sih_2020,SIH-2020,Smart India Hackathon 2020 Reference,CHALLENGE,https://www.education.gov.in/sites/upload_files/mhrd/files/document-reports/AR-MoE-Eng.pdf,CLOSED_OR_HISTORICAL,,2020-12-31,,,2026-07-23,,Historical cycle reference; the annual report records the 2020 software and hardware editions.,MoE annual-report evidence records Smart India Hackathon 2020 completion in August and December 2020.,Ministry of Education / AICTE innovation ecosystem,"Department of Higher Education, Ministry of Education",MoE Innovation Cell and AICTE,Preserve the evidenced Smart India Hackathon 2020 cycle,Student teams and participating HEIs,Historical problem-solving and innovation challenge support,Higher education|Innovation|Technology,CHALLENGE|INNOVATION_SUPPORT,Student teams|HEIs,IDEATION|PROTOTYPE,Historical reference only; no active application action.
