master_id,code,canonical_name,entity_type,parent_master_id,public_classification,sector_scope,primary_sector,secondary_sectors,official_master_url,evidence_text,review_status
dst_programme_nidhi,NIDHI,National Initiative for Developing and Harnessing Innovations,UMBRELLA_PROGRAMME,,STARTUP_ECOSYSTEM_UMBRELLA,UNKNOWN,,,https://nidhi.dst.gov.in/about-department/about-nidhi/,Official NIDHI information identifies NIDHI as DST's umbrella programme and lists its permanent startup-support components.,CURATED_BASELINE
dst_programme_nidhi_prayas,NIDHI-PRAYAS,NIDHI - Promoting and Accelerating Young and Aspiring Innovators and Startups,PROGRAMME_COMPONENT,dst_programme_nidhi,DIRECT_STARTUP_SUPPORT,AGNOSTIC,Sector Agnostic / Multi-sector,,https://nidhi.dst.gov.in/schemes-programmes/nidhiprayas/,The official master page explicitly describes NIDHI-PRAYAS as sector-agnostic and explains startup and innovator access through approved centres.,CURATED_BASELINE
dst_programme_nidhi_eir,NIDHI-EIR,NIDHI - Entrepreneur-in-Residence,PROGRAMME_COMPONENT,dst_programme_nidhi,DIRECT_STARTUP_SUPPORT,UNKNOWN,,,https://nidhi.dst.gov.in/nidhieir/,Official NIDHI material identifies EIR as a permanent component that reduces early-stage risk for aspiring technology entrepreneurs.,CURATED_BASELINE
dst_programme_nidhi_ssp,NIDHI-SSP,NIDHI Seed Support Program,PROGRAMME_COMPONENT,dst_programme_nidhi,DIRECT_STARTUP_SUPPORT_THROUGH_INCUBATOR,UNKNOWN,,,https://nidhi.dst.gov.in/nidhissp/,The official SSP page describes seed assistance to potential startups through supported incubators and distinguishes incubator calls from the permanent programme.,CURATED_BASELINE
dst_programme_nidhi_tbi,NIDHI-TBI,NIDHI Technology Business Incubator,PROGRAMME_COMPONENT,dst_programme_nidhi,STARTUP_ACCESS_SUPPORT,UNKNOWN,,,https://nidhi.dst.gov.in/nidhitbi/,The official page separates institutional calls to establish TBIs from startup intake conducted by individual TBIs.,CURATED_BASELINE
dst_programme_nidhi_itbi,NIDHI-ITBI,NIDHI Inclusive Technology Business Incubator,PROGRAMME_COMPONENT,dst_programme_nidhi,STARTUP_ACCESS_SUPPORT,UNKNOWN,,,https://nidhi.dst.gov.in/nidhiitbi/,Official NIDHI information identifies iTBI as a permanent NIDHI component and a delivery institution for inclusive startup support.,CURATED_BASELINE
dst_programme_nidhi_accelerator,NIDHI-ACCELERATOR,NIDHI Accelerator,PROGRAMME_COMPONENT,dst_programme_nidhi,STARTUP_ACCESS_SUPPORT,MULTI_SECTOR,Sector Agnostic / Multi-sector,,https://nidhi.dst.gov.in/schemes-programmes/nidhiaccelerator/,The official page explicitly states that supported accelerator programmes may be sector-specific or sector-agnostic; individual cohort sectors must be stored on calls.,CURATED_BASELINE
dst_programme_nidhi_coe,NIDHI-COE,NIDHI Centre of Excellence,PROGRAMME_COMPONENT,dst_programme_nidhi,STARTUP_ACCESS_SUPPORT,UNKNOWN,,,https://nidhi.dst.gov.in/schemes-programmes/,The official NIDHI component list identifies CoE as a permanent component for globally competitive startup facilities.,CURATED_BASELINE
dst_programme_rdif,RDIF,Research Development and Innovation Fund,FUND_SCHEME,,DIRECT_STARTUP_AND_ENTERPRISE_FINANCE,MULTI_SECTOR,Deep Technology,ClimateTech & Clean Energy; Artificial Intelligence & Data; Biotechnology & Medical Technologies; Digital Economy & AgriTech; Space Technology; Semiconductors & Electronics,https://rdifund.anrf.gov.in/,RDIF is the permanent DST flagship fund under ANRF. It finances private-sector enterprises and startups in sunrise and strategic sectors through designated Second-Level Fund Managers such as TDB.,CURATED_BASELINE
dst_programme_tdb_core_funding,TDB-CORE-FUNDING,Technology Development Board Core Funding,PERMANENT_SUPPORT_PROGRAMME,,DIRECT_STARTUP_SUPPORT_SUBJECT_TO_ELIGIBILITY,UNKNOWN,,,https://tdb.gov.in/,Official TDB material describes continuing core technology-commercialisation finance. RDIF financing through TDB as Second-Level Fund Manager is tracked separately under the Research Development and Innovation Fund.,CURATED_BASELINE
