"review_id","master_id","canonical_name","field_name","current_value","review_reason","required_evidence","priority","review_status","review_decision","review_notes"
"dpiit_review_recognition_required_documents","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","required_documents","","DOCUMENT_LIST_NOT_FOUND","Current official NSWS application checklist or official user guide listing the required supporting documents.","MEDIUM","OPEN","NEEDS_MANUAL_REVIEW","The official page states that support documents are required but the complete current checklist has not been captured."
"dpiit_review_recognition_contact","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","contact_details","","CONTACT_DETAILS_NOT_FOUND","Official service-specific contact, helpdesk or escalation details.","LOW","OPEN","NEEDS_MANUAL_REVIEW","General portal contact details were not assigned as service-specific contact evidence."
"dpiit_review_recognition_guideline","dpiit_master_6c1afb477ef37cd6acaa","DPIIT Startup Recognition","guideline_url","","MISSING_FIELD_EVIDENCE","Current official DPIIT Recognition user guide or application manual URL.","LOW","OPEN","NEEDS_MANUAL_REVIEW","The informational page refers to guidance, but the exact current guide URL has not yet been governed."
"dpiit_review_80iac_required_documents","dpiit_master_3b767c3b91080149015f","Section 80-IAC Tax Exemption Eligibility Certification for Startups","required_documents","Applicable documents include incorporation or registration evidence, shareholding details, board resolution where applicable, income-tax return acknowledgements, audited financial statements for the applicable years, chartered-accountant certifications and declarations concerning formation and financial information, and supporting material such as the pitch deck and application video as required by the official form.","DOCUMENT_REQUIREMENTS_CONDITIONAL","Official clarification separating universally mandatory documents from documents required only when applicable.","MEDIUM","OPEN","NEEDS_MANUAL_REVIEW","The official form lists both mandatory and conditional evidence categories."
"dpiit_review_80iac_guideline","dpiit_master_3b767c3b91080149015f","Section 80-IAC Tax Exemption Eligibility Certification for Startups","guideline_url","","MISSING_FIELD_EVIDENCE","Current official consolidated Form 80-IAC guideline, manual or user-guide URL.","LOW","OPEN","NEEDS_MANUAL_REVIEW","The live application page contains guidance, but a separate consolidated guide has not been governed."
"dpiit_review_80iac_contact","dpiit_master_3b767c3b91080149015f","Section 80-IAC Tax Exemption Eligibility Certification for Startups","contact_details","","CONTACT_DETAILS_NOT_FOUND","Official service-specific 80-IAC helpdesk or escalation contact.","LOW","OPEN","NEEDS_MANUAL_REVIEW","The general Startup India contact was not assigned as a dedicated 80-IAC service contact."
"dpiit_review_fof2_implementing_agencies","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","implementing_agency","SIDBI","IMPLEMENTING_AGENCY_REQUIRES_REVIEW","Official notification identifying any additional domestic implementation agency selected after SIDBI.","MEDIUM","OPEN","NEEDS_MANUAL_REVIEW","SIDBI is confirmed. Guidelines state that additional domestic implementation agencies may be selected."
"dpiit_review_fof2_required_documents","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","required_documents","","DOCUMENT_LIST_NOT_FOUND","Official SIDBI FoF 2.0 AIF application checklist or applicant-document list.","MEDIUM","OPEN","NEEDS_MANUAL_REVIEW","The official sources describe the process but the complete current upload checklist has not been governed."
"dpiit_review_fof2_funding_minimum","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","funding_minimum","","FUNDING_STRUCTURE_REQUIRES_REVIEW","Official universal minimum investment applicable directly to every startup, if one exists.","LOW","OPEN","NEEDS_MANUAL_REVIEW","No universal startup-level minimum has been assigned. Investment decisions are made by supported AIFs."
"dpiit_review_fof2_funding_maximum","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","funding_maximum","","FUNDING_STRUCTURE_REQUIRES_REVIEW","Official universal maximum investment applicable directly to every startup, if one exists.","MEDIUM","OPEN","NEEDS_MANUAL_REVIEW","The INR 10,000 crore corpus is scheme-level. Segment-specific or AIF-specific limits must not be represented as one universal startup maximum."
"dpiit_review_fof2_contact","dpiit_master_c89f3d410e746f1594dc","Startup India Fund of Funds 2.0","contact_details","","CONTACT_DETAILS_NOT_FOUND","Official FoF 2.0 or SIDBI Fund Application Portal helpdesk contact.","LOW","OPEN","NEEDS_MANUAL_REVIEW","General DPIIT or SIDBI contacts have not been recorded as scheme-specific support contacts."
