master_id,scheme_code,canonical_name,record_kind,source,ministry,department,implementing_agency,implementation_role,geographic_scope,applicant_layer,programme_status,application_status,opening_date,closing_date,official_page_url,application_url,guideline_urls,reference_urls,status_basis,status_evidence,last_verified_at,funding_minimum,funding_maximum,funding_amount_status,funding_amount_optional,funding_evidence,scheme_corpus,objectives,eligibility,benefits,sectors,scheme_types,target_beneficiaries,startup_stage,warnings,recommended_actions,publication_decision
dot_ttdf,TTDF,Telecom Technology Development Fund,SCHEME,DoT / Digital Bharat Nidhi,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; Telecom Technology Development Fund,Fund administrator,India,STARTUPS;MSMEs;ACADEMIA;R&D INSTITUTIONS,ACTIVE_INFORMATION_AVAILABLE,STATUS_UNVERIFIED,,,https://ttdf.usof.gov.in/,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://www.dot.gov.in/,Permanent scheme identity; no current window inferred,Official TTDF portal describes the notified scheme and its objectives; current calls are displayed separately on the portal.,2026-07-22,,,NOT_STATED,1,,,"Promote indigenous telecom R&D design and commercialization|Improve rural connectivity and digital inclusion|Support milestone-based development and pilot adoption","Indian-headquartered companies and startups; Indian academic and R&D institutions; eligible partnerships","Milestone-based assistance for telecom products, rural connectivity and digital inclusion","Telecom;5G;6G;IoT;Rural Connectivity",GRANT_OR_ASSISTANCE;R&D_SUPPORT,Startups;MSMEs;Academic and R&D institutions,IDEATION;VALIDATION;GROWTH,Permanent scheme page; current application status is not verified.,Review TTDF current-call pages during each scheduled source refresh.,AUTO_APPROVED
dot_dcis,DCIS,Digital Communication Innovation Square (DCIS),SCHEME,DoT / TCOE India,Ministry of Communications,Department of Telecommunications (DoT),Telecom Centres of Excellence (TCoE) India,Implementing agency under DoT supervision,India,STARTUPS;MSMEs;ACADEMIA;INDUSTRY,ARCHIVED_INFORMATION_AVAILABLE,STATUS_UNVERIFIED,,,https://dcis.dot.gov.in/,,https://dcis.dot.gov.in/,,Official DCIS scheme page; years 2021-22 through 2023-24 are listed,"DCIS portal states TCOE India implements the scheme on behalf of DoT and records the 2021, 2022 and 2023 application rounds.",2026-07-22,,,NOT_STATED,1,,,"Research, design, proof of concept, IPR, pilot and telecom manufacturing ecosystem|Bridge R&D and commercialization|Create synergies among academia, startups and industry","Startups;MSMEs;academia;industry as stated in the DCIS scheme material","Grant-supported innovation, pilots and commercialization support","Digital Communications;5G;6G;IoT;Cybersecurity",GRANT_OR_ASSISTANCE;INNOVATION_SUPPORT,Telecom startups;MSMEs;Academic and industry partners,IDEATION;VALIDATION;GROWTH,Historical scheme identity; no open application window is inferred.,Use the DCIS archive for historical beneficiaries and calls.,AUTO_APPROVED
dot_testing_reimbursement,TEST_CERT_REIMBURSEMENT,Scheme for reimbursement of Testing and Certification Charges for Start-ups and Telecom MSEs,SCHEME,Department of Telecommunications,Ministry of Communications,Department of Telecommunications (DoT),Telecommunications Engineering Centre (TEC),Online reimbursement scheme,India,STARTUPS;MICRO_ENTERPRISES;SMALL_ENTERPRISES,ACTIVE_INFORMATION_AVAILABLE,STATUS_UNVERIFIED,,,https://www.dot.gov.in/offerings/schemes-and-services/details/scheme-for-reimbursement-of-testing-and-certification-charges-for-start-ups-and-telecom-mses-IjNyETNtQWa,,https://www.dot.gov.in/static/uploads/2026/05/586b7c676a24292fa29c95f14a2d5b3f.pdf,https://www.dot.gov.in/static/uploads/2026/05/fa4cec024359f84da50833ae4b98ddf3.pdf,Official DoT scheme page and TEC guidelines,"DoT specifies reimbursement for eligible telecom/ICT testing and certification; reimbursement percentages are 75% for startups, 60% for micro and 50% for small enterprises.",2026-07-22,,5000000,RECORDED,0,Maximum reimbursement for any startup or MSE is capped at INR 50 lakhs for the scheme duration.,,"Reimburse eligible telecom/ICT testing and certification charges|Improve startup and MSE competitiveness in domestic and export markets","DPIIT-registered startups; MSMEs registered as micro or small with Ministry of MSME; annual revenue not above INR 5 crore and startup funding not above INR 10 crore","Up to 75% startup, 60% micro-enterprise and 50% small-enterprise reimbursement, subject to the scheme cap","Telecom;ICT;Testing and Certification",REIMBURSEMENT,Startups;Micro enterprises;Small enterprises,VALIDATION;GROWTH,Application-window status is not stated on the scheme page; do not show Apply until a current window is verified.,Confirm portal route and quarterly submission window during refresh.,AUTO_APPROVED
dot_tdip,TDIP,Technology Development & Investment Promotion (TDIP) Scheme,SCHEME,Department of Telecommunications,Ministry of Communications,Department of Telecommunications (DoT),TSDSI; TCIL; TCoE India,Annual activities and implementing partners,India,STARTUPS;INDUSTRY;R&D INSTITUTIONS,ACTIVE_INFORMATION_AVAILABLE,STATUS_UNVERIFIED,,,https://www.dot.gov.in/offerings/schemes-and-services/details/technology-development-investment-promotion-tdip-scheme-EDOwITNtQWa,,https://www.dot.gov.in/static/uploads/2026/04/TDIP-Scheme-Guideline.pdf,https://www.dot.gov.in/whats-new,Central Sector scheme page published for 2026-27 to 2030-31,"DoT describes a five-year Central Sector scheme with a total outlay of INR 203 crore and activities through TSDSI, TCIL and TCoE India.",2026-07-22,,,NOT_STATED,1,,2030000000,"Strengthen Indian participation in global telecom standardisation|Foster ecosystem innovation, incubation and commercialisation|Evolve telecom labs and testbed infrastructure","Industry;startups;R&D institutions;standardisation and ecosystem partners","Support for standardisation, innovation, incubation, commercialisation and telecom testbed activities","Telecom;Standardisation;6G;R&D;Testbeds",ECOSYSTEM_SUPPORT;R&D_SUPPORT,Startups;Industry;R&D institutions,IDEATION;VALIDATION;GROWTH,The INR 203 crore figure is scheme outlay, not an applicant grant maximum.,Check DoT and implementing-agency notices for any applicant-specific calls.,AUTO_APPROVED
dot_ttdf_1_0,TTDF_1_0,TTDF 1.0 Call for Proposals,HISTORICAL_CALL,Telecom Technology Development Fund,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; TTDF,Call administrator,India,STARTUPS;MSMEs;ACADEMIA;R&D INSTITUTIONS,CLOSED,CLOSED,2022-10-01,2023-02-12,https://ttdf.usof.gov.in/,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://ttdf.usof.gov.in/,Official TTDF project history gives start and end dates,TTDF portal lists TTDF 1.0 as closed with start 01 October 2022 and end 12 February 2023.,2026-07-22,,,NOT_STATED,1,,,"Indigenous telecom R&D and commercialization|Rural connectivity and digital inclusion","Indian companies, MSMEs, startups and academia as described by TTDF","Call-based milestone assistance for telecom innovation","Telecom;5G;Rural Connectivity",APPLICATION_CALL;GRANT_OR_ASSISTANCE,Startups;MSMEs;Academic and R&D institutions,IDEATION;VALIDATION;GROWTH,Historical reference only; no application action.,Use for historical call coverage and trend analysis.,AUTO_APPROVED
dot_ttdf_chipset,TTDF_2_0_CHIPSET,Chipset Development (TTDF 2.0),HISTORICAL_CALL,Telecom Technology Development Fund,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; TTDF,Call administrator,India,STARTUPS;MSMEs;INDUSTRY,CLOSED,CLOSED,2023-08-15,2023-10-31,https://ttdf.usof.gov.in/,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://ttdf.usof.gov.in/,Official TTDF project history gives start and end dates,TTDF portal lists Chipset Development (TTDF 2.0) as closed with start 15 August 2023 and end 31 October 2023.,2026-07-22,,,NOT_STATED,1,,,"Develop critical telecom chipsets including broadband CPE, 5G modems, microcontrollers, XPON OLT chips and DSPs","Indian companies, startups and eligible R&D or academic partners","Call-based support for indigenous semiconductor and telecom hardware development","Telecom Hardware;Semiconductors;5G",APPLICATION_CALL;R&D_SUPPORT,Startups;MSMEs;Industry partners,VALIDATION;GROWTH,Historical reference only; no application action.,Keep separate from the TTDF umbrella scheme.,AUTO_APPROVED
dot_ttdf_pilot,TTDF_2_0_PILOT,Pilot Proposals (TTDF 2.0),HISTORICAL_CALL,Telecom Technology Development Fund,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; TTDF,Call administrator,India,STARTUPS;MSMEs;ACADEMIA;R&D INSTITUTIONS,CLOSED,CLOSED,2023-08-15,2023-10-31,https://ttdf.usof.gov.in/,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://ttdf.usof.gov.in/,Official TTDF project history gives start and end dates,TTDF portal lists Pilot Proposals (TTDF 2.0) as closed with start 15 August 2023 and end 31 October 2023.,2026-07-22,,,NOT_STATED,1,,,"Innovative pilot projects to enhance digital connectivity and bridge the digital divide","Indian companies, startups, MSMEs, academic and R&D institutions","Pilot-oriented TTDF support for telecom and digital-connectivity deployments","Rural Connectivity;5G;IoT",APPLICATION_CALL;PILOT_SUPPORT,Startups;MSMEs;Academic and R&D institutions,VALIDATION;GROWTH,Historical reference only; no application action.,Keep as a distinct dated TTDF call identity.,AUTO_APPROVED
dot_dcis_hackathon,DCIS_5G_HACKATHON,5G & Beyond Hackathon 2023,HISTORICAL_CALL,DoT / TCOE India,Ministry of Communications,Department of Telecommunications (DoT),Telecom Centres of Excellence (TCoE) India,Implementing agency under DoT supervision,India,STARTUPS;ACADEMIA;INDUSTRY,CLOSED,CLOSED,2023-06-28,2023-08-07,https://dcis.dot.gov.in/hackathon,,https://dcis.dot.gov.in/assets/img/pdf/Terms-and-conditions_5G-and-beyond-Hackathon_27.pdf,https://dcis.dot.gov.in/,DCIS Hackathon page publishes the last date and closed call notice,DCIS page states last date of online application was 7 August 2023 and identifies the hackathon as closed.,2026-07-22,,100000,RECORDED,0,Winning products/solutions were awarded INR 1 lakh each according to the official hackathon page.,,"Identify India-focused 5G and beyond products and solutions at TRL 3-5|Support conversion of proof-of-concept products into market-ready solutions","Startups and academic institutions in India; partners and stakeholders as stated in terms","INR 1 lakh award for each winner plus showcase and scale opportunity","5G;IoT;Healthcare;AgriTech;Cybersecurity;Smart Cities",CHALLENGE;COMPETITION,Startups;Academic institutions,IDEATION;VALIDATION,Historical reference only; no application action.,Keep the award separate from DoT scheme funding.,AUTO_APPROVED
dot_5g_village,TTDF_5G_VILLAGE,Call for Proposals - 5G Intelligent Village,HISTORICAL_CALL,Telecom Technology Development Fund,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; TTDF,Call administrator,India,STARTUPS;MSMEs;ACADEMIA;R&D INSTITUTIONS,CLOSED,CLOSED,,2024-09-07,https://ttdf.usof.gov.in/5g-intelligent-village,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://ttdf.usof.gov.in/,Official TTDF call page states submission deadline and closed status,The official page states the last date for proposals was 7 September 2024 and marks the call closed.,2026-07-22,,,NOT_STATED,1,,,"Design 5G networks and smart solutions for rural innovation|Use 5G for agriculture, education, healthcare, governance and sustainability","India-headquartered companies and startups; Indian R&D and academic institutions; partnerships","TTDF funding for high-TRL telecom products and rural 5G pilots","5G;Rural Connectivity;Agriculture;Healthcare;Education",APPLICATION_CALL;PILOT_SUPPORT,Startups;MSMEs;Academic and R&D institutions,VALIDATION;GROWTH,Historical reference only; no application action.,Retain village location and proposal evidence in the scheme profile.,AUTO_APPROVED
dot_qea,TTDF_QEA,Quantum Encryption Algorithm Call,HISTORICAL_CALL,Telecom Technology Development Fund,Ministry of Communications,Department of Telecommunications (DoT),Digital Bharat Nidhi; TTDF,Call administrator,India,STARTUPS;MSMEs;ACADEMIA;R&D INSTITUTIONS,CLOSED,CLOSED,2024-06-15,,https://ttdf.usof.gov.in/quantum-encryption-algorithm,,https://ttdf.usof.gov.in/TTDF-Guidelines.pdf,https://ttdf.usof.gov.in/,Official TTDF portal identifies the call and states the submission deadline is closed,The official QEA page states the last date of submission is closed; launch period is recorded from the TTDF journey page.,2026-07-22,,,NOT_STATED,1,,,"Develop an India-specific quantum encryption algorithm for secure digital communications","Companies, startups, R&D institutions and academic institutions in India","R&D support for quantum-safe telecom security and IP creation","Quantum Communication;Cybersecurity;Telecom",APPLICATION_CALL;R&D_SUPPORT,Startups;MSMEs;Academic and R&D institutions,IDEATION;VALIDATION,Historical reference only; closing date not published on the page.,Do not use this row for an exact closing-year chart.,AUTO_APPROVED
