review_id,review_type,provisional_entity_id,proposed_name,proposed_entity_type,confidence,review_flags,evidence,source_url,recommended_action
dst_gap_review_298aea3d4d72dd7d7ae6,GAP_UNRESOLVED,,Screen Reader Access,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/screen-reader-access,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_0d91491e8f231f260cdf,GAP_UNRESOLVED,,About DST,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about_us,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_099e073bcfc59c78376a,GAP_UNRESOLVED,,Introduction,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/introduction,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_186a8cdf390e314d5222,GAP_UNRESOLVED,,Mandate,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/mandate,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_920bb60255183f636785,GAP_UNRESOLVED,,Former Secretaries,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/former-secretaries,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_97a500a7658b7fc73026,GAP_UNRESOLVED,,Organization Structure,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/organization-structure,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_a5eb877954648fec3994,GAP_UNRESOLVED,,Administrative Setup,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us-administrative-setup,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_8217f23461ca845a904b,GAP_UNRESOLVED,,Directory,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/about-us/email-directory,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_1343d0a7ad8e1a529488,GAP_UNRESOLVED,,Vigilance,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/vigilance-1,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
dst_gap_review_7af7e32f001acdf9b9a9,GAP_UNRESOLVED,,Meet the Minister,UNRESOLVED,0.3000,VERIFY_UNCRAWLED_OR_NORMALIZATION_VARIANT,SOURCE_URL_INTERPRETED_AS_TARGET_URL | TARGET_URL_NOT_FOUND_IN_CLASSIFIED_PAGE_INVENTORY,https://dst.gov.in/meet-minister,REVIEW_TARGET_PAGE_AND_CATEGORY_CONTEXT
